
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                   341:24:53 N/A                                                                     
System                           4 Services                   0         96 K Unknown         N/A                                                     1:02:24 N/A                                                                     
Secure System                   88 Services                   0     40,536 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Registry                       156 Services                   0     61,684 K Unknown         N/A                                                     0:00:06 N/A                                                                     
smss.exe                       528 Services                   0      1,068 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      808 Services                   0      4,624 K Unknown         N/A                                                     0:01:42 N/A                                                                     
wininit.exe                    904 Services                   0      4,120 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      912 Console                    1      5,252 K Running         N/A                                                     0:03:03 N/A                                                                     
services.exe                   976 Services                   0      9,236 K Unknown         N/A                                                     0:01:15 N/A                                                                     
LsaIso.exe                     996 Services                   0      3,476 K Unknown         N/A                                                     0:00:00 N/A                                                                     
lsass.exe                     1004 Services                   0     52,280 K Unknown         N/A                                                     0:01:02 N/A                                                                     
svchost.exe                    112 Services                   0     50,376 K Unknown         N/A                                                     0:00:50 N/A                                                                     
fontdrvhost.exe               1048 Services                   0      2,360 K Unknown         N/A                                                     0:00:10 N/A                                                                     
svchost.exe                   1104 Services                   0     37,384 K Unknown         N/A                                                     0:01:25 N/A                                                                     
svchost.exe                   1160 Services                   0     18,376 K Unknown         N/A                                                     0:00:07 N/A                                                                     
winlogon.exe                  1228 Console                    1      7,676 K Unknown         N/A                                                     0:00:00 N/A                                                                     
fontdrvhost.exe               1276 Console                    1      9,940 K Unknown         N/A                                                     0:00:16 N/A                                                                     
svchost.exe                   1324 Services                   0     30,924 K Unknown         N/A                                                     0:00:15 N/A                                                                     
svchost.exe                   1376 Services                   0      7,380 K Unknown         N/A                                                     0:00:00 N/A                                                                     
dwm.exe                       1416 Console                    1     54,068 K Running         N/A                                                     0:48:57 DWM Notification Window                                                 
svchost.exe                   1548 Services                   0     27,700 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   1604 Services                   0     17,292 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1612 Services                   0     15,208 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1648 Services                   0     23,052 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1656 Services                   0     11,904 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1820 Services                   0     19,980 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1832 Services                   0     16,724 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1896 Services                   0     36,980 K Unknown         N/A                                                     0:00:21 N/A                                                                     
svchost.exe                   1984 Services                   0     15,152 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1156 Services                   0     13,112 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1272 Services                   0     39,692 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1360 Services                   0     26,624 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1760 Services                   0     25,180 K Unknown         N/A                                                     0:00:15 N/A                                                                     
svchost.exe                   2076 Services                   0     15,128 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2260 Services                   0     26,552 K Unknown         N/A                                                     0:00:05 N/A                                                                     
svchost.exe                   2320 Services                   0     14,372 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   2412 Services                   0     18,316 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2420 Services                   0     29,504 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2428 Services                   0     16,308 K Unknown         N/A                                                     0:00:22 N/A                                                                     
WUDFHost.exe                  2492 Services                   0      4,804 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2536 Services                   0     16,756 K Unknown         N/A                                                     0:00:00 N/A                                                                     
NVDisplay.Container.exe       2596 Services                   0     12,100 K Unknown         N/A                                                     0:00:05 N/A                                                                     
svchost.exe                   2716 Services                   0     23,556 K Unknown         N/A                                                     0:00:46 N/A                                                                     
svchost.exe                   2812 Services                   0     19,620 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2836 Services                   0     14,024 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2912 Services                   0     22,176 K Unknown         N/A                                                     0:04:19 N/A                                                                     
